Source_Name,RAJ2000,DEJ2000,GLON,GLAT,Conf_68_SemiMajor,Conf_68_SemiMinor,Conf_68_PosAng,Conf_95_SemiMajor,Conf_95_SemiMinor,Conf_95_PosAng,ROI_num,Signif_Avg,Pivot_Energy,Flux_Density,Unc_Flux_Density,Flux1000,Unc_Flux1000,Energy_Flux100,Unc_Energy_Flux100,Signif_Curve,SpectrumType,Spectral_Index,Unc_Spectral_Index,beta,Unc_beta,Cutoff,Unc_Cutoff,Exp_Index,Unc_Exp_Index,PowerLaw_Index,Flux100_300,nuFnu100_300,Sqrt_TS100_300,Flux300_1000,nuFnu300_1000,Sqrt_TS300_1000,Flux1000_3000,nuFnu1000_3000,Sqrt_TS1000_3000,Flux3000_10000,nuFnu3000_10000,Sqrt_TS3000_10000,Flux10000_100000,nuFnu10000_100000,Sqrt_TS10000_100000,Variability_Index,Signif_Peak,Flux_Peak,Unc_Flux_Peak,Time_Peak,Peak_Interval,Extended_Source_Name,0FGL_Name,1FGL_Name,2FGL_Name,1FHL_Name,ASSOC_GAM1,ASSOC_GAM2,ASSOC_GAM3,TEVCAT_FLAG,ASSOC_TEV,CLASS1,ASSOC1,ASSOC2,Flags,CLASS,AGN,Blazar
3FGL J0127.2+0325,21.8099,3.4229,140.098,-58.2505,0.0330566,0.0309597,-46.84,0.0536,0.0502,-46.84,737,14.4202,2348.66,1.60544E-13,1.74774E-14,8.89392E-10,9.76201E-11,1.03033E-11,1.24935E-12,1.60347,PowerLaw,1.89927,0.076865,-INF,-INF,-INF,-INF,-INF,-INF,1.89927,7.58457E-10,1.8408E-13,0.314616,1.65044E-09,1.14672E-12,4.33233,5.48836E-10,1.33204E-12,7.60846,2.89259E-10,2.00977E-12,9.7767,7.49505E-11,1.39056E-12,6.47156,49.5534,-INF,-INF,-INF,-INF,-INF,,,1FGL J0127.0+0322,2FGL J0127.2+0324,,,,,N,,bcu,NVSS J012713+032259,,0,bcu,AGN,bcu
3FGL J0127.4+5433,21.8692,54.5546,128.194,-7.9485,0.109407,0.060686,36.51,0.1774,0.0984,36.51,116,4.59155,828.529,8.94307E-13,1.83041E-13,3.62254E-10,8.77806E-11,5.55111E-12,1.19116E-12,0.531317,PowerLaw,2.53249,0.155269,-INF,-INF,-INF,-INF,-INF,-INF,2.53249,1.06822E-08,2.43822E-12,2.2476,1.66572E-09,1.07564E-12,2.48657,3.52248E-10,8.04008E-13,2.92887,1.37848E-11,8.90153E-14,0.606822,1.98646E-11,2.89506E-13,2.76783,36.211,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0127.5+5634,21.8942,56.5686,127.923,-5.95253,0.0727738,0.0650647,20.6,0.118,0.1055,20.6,116,5.78497,695.184,2.03045E-12,3.20114E-13,4.99748E-10,9.79711E-11,8.21258E-12,1.33951E-12,0.333658,PowerLaw,2.58626,0.11774,-INF,-INF,-INF,-INF,-INF,-INF,2.58626,1.24991E-08,2.83858E-12,1.92134,3.7447E-09,2.40373E-12,4.82516,2.11259E-10,4.79774E-13,1.64783,4.23448E-11,2.71812E-13,1.55915,2.76748E-11,3.96136E-13,3.19061,53.8951,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0127.6+4851,21.9245,48.8613,129.054,-13.5789,0.0901039,0.0675316,-74.13,0.1461,0.1095,-74.13,366,4.95925,1047.46,4.22043E-13,8.49123E-14,3.26173E-10,7.24882E-11,4.52873E-12,9.58765E-13,0.168063,PowerLaw,2.44817,0.148199,-INF,-INF,-INF,-INF,-INF,-INF,2.44817,5.22476E-09,1.2021E-12,1.42055,1.50882E-09,9.83578E-13,2.89405,2.57536E-10,5.92532E-13,3.19633,5.77221E-11,3.76282E-13,2.76781,7.62912E-12,1.1447E-13,1.56989,66.9914,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,,,,0,,,
3FGL J0127.9+2551,21.9784,25.8552,133.125,-36.2935,0.257854,0.235405,-23.71,0.4181,0.3817,-23.71,765,7.14076,240.446,3.29819E-11,4.42302E-12,1.89538E-10,5.94077E-11,7.28953E-12,9.77571E-13,1.52606,PowerLaw,3.0998,0.149154,-INF,-INF,-INF,-INF,-INF,-INF,3.0998,1.94479E-08,4.21682E-12,4.77431,2.87302E-09,1.74643E-12,5.33298,1.96588E-10,4.26254E-13,2.13486,9.33897E-16,5.6769E-18,0,3.01667E-16,3.71774E-18,0,52.4454,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,fsrq,4C +25.05,,0,fsrq,AGN,fsrq
3FGL J0128.4+6257,22.1161,62.9619,127.126,0.39208,0.0775226,0.0603159,40.13,0.1257,0.0978,40.13,221,8.25971,672.942,3.97323E-12,4.85285E-13,9.78767E-10,1.46262E-10,1.44923E-11,1.77792E-12,2.43871,PowerLaw,2.50449,0.0816127,-INF,-INF,-INF,-INF,-INF,-INF,2.50449,1.73064E-08,3.96062E-12,2.85508,5.76239E-09,3.73272E-12,5.38057,1.0883E-09,2.49061E-12,5.32173,2.12934E-10,1.37933E-12,4.83751,3.15407E-15,4.64086E-17,0,42.5354,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,spp,,,0,spp,non-AGN,non-Blazar
3FGL J0128.5+4430,22.1288,44.5067,129.865,-17.8653,0.135865,0.0688268,15.03,0.2203,0.1116,15.03,422,7.5481,1027.34,6.0007E-13,8.82686E-14,4.78849E-10,7.97985E-11,5.95472E-12,8.77997E-13,1.19357,PowerLaw,2.33204,0.109883,-INF,-INF,-INF,-INF,-INF,-INF,2.33204,9.00304E-09,2.09451E-12,2.73153,2.24547E-09,1.48324E-12,5.04249,3.3934E-10,7.89457E-13,4.47195,9.62542E-11,6.35802E-13,4.19104,7.1245E-12,1.11458E-13,1.05438,89.3246,4.20723,4.919E-08,1.5552E-08,2.56425E+08,2.63E+06,,,1FGL J0128.6+4439,2FGL J0128.4+4431,,,,,N,,fsrq,GB6 J0128+4439,,0,fsrq,AGN,fsrq
3FGL J0130.8+1441,22.7178,14.6842,137.016,-47.1063,0.229114,0.168243,85.76,0.3715,0.2728,85.76,822,4.29818,541.572,1.93527E-12,4.04008E-13,2.30757E-10,6.70223E-11,4.14865E-12,8.80337E-13,2.2382,PowerLaw,2.65054,0.166117,-INF,-INF,-INF,-INF,-INF,-INF,2.65054,6.13008E-09,1.38385E-12,2.04024,1.91647E-09,1.22151E-12,3.97137,1.36328E-10,3.07758E-13,1.90822,1.32306E-12,8.43285E-15,0,1.30648E-11,1.83133E-13,1.46827,45.4491,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,fsrq,4C +14.06,,0,fsrq,AGN,fsrq
3FGL J0131.2+6120,22.8013,61.335,127.684,-1.16927,0.013568,0.013383,-0.5,0.022,0.0217,-0.5,221,21.2568,4285.78,1.17093E-13,9.08612E-15,2.0027E-09,1.61618E-10,2.36979E-11,1.86743E-12,0.417916,PowerLaw,1.86184,0.0578565,-INF,-INF,-INF,-INF,-INF,-INF,1.86184,1.33754E-08,3.25834E-12,2.33744,4.17269E-09,2.91211E-12,5.18926,1.11609E-09,2.71888E-12,7.55721,4.81101E-10,3.3576E-12,11.2026,3.06113E-10,5.7688E-12,15.8253,88.1727,6.1831,4.83267E-08,1.25294E-08,2.56425E+08,2.63E+06,,,1FGL J0131.2+6121,2FGL J0131.1+6121,1FHL J0131.3+6121,,,,N,,bll,1RXS J013106.4+612035,,0,bll,AGN,bll
3FGL J0131.3+5548,22.8346,55.8072,128.556,-6.62816,0.0572323,0.0451444,-33.36,0.0928,0.0732,-33.36,116,4.88888,5586.93,1.20816E-14,3.04379E-15,3.48164E-10,1.01653E-10,4.02401E-12,1.02697E-12,0.34095,PowerLaw,1.90386,0.214937,-INF,-INF,-INF,-INF,-INF,-INF,1.90386,7.14694E-09,1.7338E-12,1.18894,5.01351E-10,3.48148E-13,0.772447,1.84967E-10,4.48717E-13,1.7143,5.59418E-11,3.88472E-13,2.50956,6.02133E-11,1.11501E-12,4.76484,44.8195,-INF,-INF,-INF,-INF,-INF,,,,,,,,,N,,bcu,TXS 0128+554,,0,bcu,AGN,bcu
