id,Fermi_name,Counterpart_name,Bzcat5_name,Optical_Class,RA_J2000,Dec_J2000,Redshift,SED_Class,LogSyncZ,Probability_Bayesian,Reliability_LR_RG,Reliability_LR_XG,Significance,Flux_1to100GeV,Spectral_Index,Spectral_Type,Power_Law_Index,Radio_flux),X_Flux,USNOVmag,SDSSVmag,CLEAN
482,3FGL J0721.9+7120,S5 0716+71,5BZBJ0721+7120,bll,07 21 53.44,+71 20 36.36,0.127,LSP,13.992,1.0,0.98,0.97,196.55,2.1998697999999997e-08,1.9478,LogParabola,2.04,727.3043,4.91e-12,14.6607,0.0,Y
483,3FGL J0723.7+2050,GB6 J0723+2051,, bcu II,07 23 48.33,+20 51 30.82,0.0,HSP,15.85,1.0,0.0,0.0,5.69,3.508977e-10,2.4001,PowerLaw,2.4,43.3682,0.0,17.1019,0.0,Y
484,3FGL J0724.1+2857,GB6 J0723+2859,5BZQJ0723+2859,fsrq,07 23 54.83,+28 59 29.85,0.966,LSP,13.68,0.99,0.0,0.0,9.0,4.3992984000000006e-10,2.5944,PowerLaw,2.59,38.2341,0.0,19.275,0.0,Y
487,3FGL J0728.0+4828,GB6 J0727+4827,, bcu II,07 27 59.83,+48 27 20.32,0.0,ISP,14.54,0.98,0.0,0.0,4.25,2.3033694e-10,2.3711,PowerLaw,2.37,91.6116,0.0,18.172,0.0,Y
488,3FGL J0730.3+6720,GB6 J0731+6718,, fsrq,07 31 25.4,+67 18 47.08,0.17,LSP,13.248,0.99,0.0,0.0,5.18,2.1154786000000001e-10,2.6152,PowerLaw,2.62,56.8307,0.0,18.5381,17.04,N
489,3FGL J0730.5+3307,1RXS J073026.0+330727,5BZBJ0730+3307,bll,07 30 26.06,+33 07 22.9,0.11199999999999999,ISP,14.921,1.0,0.0,0.91,8.53,4.6993576e-10,2.1172,PowerLaw,2.12,9.2999,3.39e-12,18.307000000000002,17.36,Y
490,3FGL J0730.5-6606,PMN J0730-6602,, bcu II,07 30 49.55,-66 02 18.87,0.0,HSP,15.25,0.97,0.0,0.85,8.58,4.9133014e-10,1.7891,PowerLaw,1.79,81.3,5.98e-12,15.132,0.0,Y
491,3FGL J0732.2-4638,PKS 0731-465,, bcu II,07 32 44.3,-46 40 17.2,0.0,LSP,13.32,0.98,0.93,0.0,10.85,7.6162987e-10,2.3539,LogParabola,2.56,1403.0,2.7099999999999996e-12,20.27,0.0,Y
492,3FGL J0733.5+5153,4C +52.17,, agn,07 33 39.04,+51 54 21.0,0.0,-,0.0,0.0,0.94,0.0,6.25,2.5263791e-10,1.7408,PowerLaw,1.74,846.9014,0.0,20.23,0.0,N
493,3FGL J0733.5+5153,NVSS J073326+515355,, bcu III,07 33 26.79,+51 53 55.91,0.0,-,0.0,1.0,0.0,0.0,6.25,2.5263791e-10,1.7408,PowerLaw,1.74,25.0,0.0,11.9392,0.0,N
494,3FGL J0733.8+4108,GB6 J0733+4111,5BZBJ0733+4111,bll,07 33 46.93,+41 11 19.61,0.67,ISP,14.548,1.0,0.0,0.0,6.82,3.678256e-10,2.2221,PowerLaw,2.22,24.2741,0.0,17.757,17.74,Y
